Name,Type,Category,Power,Accuracy,PP,Priority,Effect
Struggle,Normal,Physical,50,100,1,0,Used automatically when all of the user's other moves have run out of PP or are otherwise inaccessible. The user receives recoil damage equal to 1/4 of its max HP. Struggle is classified as a typeless move and will hit any Pokemon for normal damage.
Stun Spore,Grass,Status,0,75,48,0,Paralyzes the target.
Submission,Fighting,Physical,80,80,40,0,The user receives 1/4 recoil damage.
Substitute,Normal,Status,0,0,16,0,The user takes one-fourth of its maximum HP to create a substitute; this move fails if the user does not have enough HP for this. Until the substitute is broken it receives damage from all attacks made by other Pokemon and shields the user from status effects and stat modifiers caused by other Pokemon. The user is still affected by Tickle Hail Sandstorm and Attract from behind its Substitute. If a Substitute breaks from a hit during a multistrike move such as Fury Attack the user takes damage from the remaining strikes.
Sunny Day,Fire,Status,0,0,8,0,Cancels all other weather moves. For 5 turns: freezing is prevented the power of Fire attacks is increased by 50% the power of Water attacks is decreased by 50% Solarbeam fires immediately Thunder becomes 50% accurate and the healing power of Morning Sun Synthesis and Moonlight is increased from 1/2 to 2/3 of the user's max HP. The effects of Sunny Day will last for eight turns if its user is holding Heat Rock.
Super Fang,Normal,Physical,50,90,16,0,This move halves the target's current HP.
Supersonic,Normal,Status,0,55,32,0,Confuses the target.
Surf,Water,Special,95,100,24,0,Power doubles against a target who is in the middle of using Dive.
Swagger,Normal,Status,0,90,24,0,Confuses the target and raises its Attack by 2 stages.
Sweet Kiss,Normal,Status,0,75,16,0,Confuses the target.
Sweet Scent,Normal,Status,0,100,32,0,Lowers the target's Evasion by 1 stage.
Swift,Normal,Physical,60,101,32,0,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.
Swords Dance,Normal,Status,0,0,48,0,Raises the user's Attack by 2 stages.
Synthesis,Grass,Status,0,0,8,0,Restores a fraction of the user's max HP depending on the weather: 2/3 during Sunny Day 1/2 during regular weather and 1/4 during Rain Dance Hail and Sandstorm.
Tackle,Normal,Physical,50,100,56,0,Deals damage with no additional effect.
Tail Whip,Normal,Status,0,100,48,0,Lowers the target's Defense by 1 stage.
Take Down,Normal,Physical,90,85,32,0,The user receives 1/4 recoil damage.
Teleport,Psychic,Status,0,0,32,0,Escapes from wild battles; fails automatically in trainer and link battles.
Thief,Dark,Special,40,100,16,0,Steals the target's held item unless the user is already holding an item or the target has Sticky Hold or Multitype. A stolen item cannot be recovered by using Recycle.
Thrash,Normal,Physical,120,100,16,0,The user attacks uncontrollably for 2-3 turns and then gets confused.
Thunder,Electric,Special,120,70,16,0,Has a 30% chance to paralyze the target. It also has normal accuracy against mid-air Pokemon who have used Fly or Bounce. During Sunny Day this move has 50% accuracy. During Rain Dance this move will never miss under normal circumstances and has a 30% chance to hit through a target's Protect or Detect.
Thunder Punch,Electric,Special,75,100,24,0,Has a 10% chance to paralyze the target.
Thunder Shock,Electric,Special,40,100,48,0,Has a 10% chance to paralyze the target.
Thunder Wave,Electric,Status,0,100,32,0,Paralyzes the target. This move activates Motor Drive.
Thunderbolt,Electric,Special,95,100,24,0,Has a 10% chance to paralyze the target.
Toxic,Poison,Status,0,90,16,0,The target is badly poisoned with the damage caused by poison doubling after each turn. Toxic poisoning will remain with the Pokemon during the battle even after switching out.
Transform,Normal,Status,0,0,16,0,The user morphs into a near-exact copy of the target. Stats stat modifiers type moves Hidden Power data and appearance are changed; the user's level and HP remain the same and each copied move receives only 5 PP. (If Transform is used by Ditto the effects of Metal Powder and Quick Powder stop working after transformation.)
Tri Attack,Normal,Physical,80,100,16,0,Has a 20% chance to burn paralyze or freeze the target.
Triple Kick,Fighting,Physical,10,90,16,0,Attacks three times in one turn adding 10 BP for each kick. If a kick misses the move ends instantly; if one of the kicks breaks a target's Substitute the real Pokemon will take damage for the remaining kicks.
Twineedle,Bug,Physical,25,100,32,0,Strikes twice; if the first hit breaks the target's Substitute the real Pokemon will take damage from the second hit. Has a 20% chance to poison the target .
Twister,Dragon,Special,40,100,32,0,Has a 20% chance to make the target flinch; power doubles while the target is in mid-air via Fly or Bounce.
Vice Grip,Normal,Physical,55,100,48,0,Deals damage with no additional effect.
Vine Whip,Grass,Special,35,100,24,0,Deals damage with no additional effect.
Vital Throw,Fighting,Physical,70,100,16,-1,This move usually goes last. It ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.
Water Gun,Water,Special,40,100,40,0,Deals damage with no additional effect.
Waterfall,Water,Special,80,100,24,0,Has a 20% chance to make the target flinch.
Whirlpool,Water,Special,35,85,24,0,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn. Base power also doubles when performed against a Pokemon in the middle of using Dive.
Whirlwind,Normal,Status,0,100,32,-1,Almost always goes last; in trainer battles the target is switched out for a random member of its team. Escapes from wild battles. Has no effect if the target has Suction Cups or used Ingrain.
Wing Attack,Flying,Physical,60,100,56,0,Deals damage with no additional effect.
Withdraw,Water,Status,0,0,64,0,Raises the user's Defense by 1 stage.
Wrap,Normal,Physical,15,90,32,0,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.
Zap Cannon,Electric,Special,120,50,8,0,Paralyzes the target.
